ratio	n	bal1	wo1	bern1
0.1	4521	6.846026294931344e-07	2.013897978244382e-05	0.00017353601533639962
0.1	4521	4.009532826026051e-06	0.00015044213288007712	0.00012921148388987273
0.1	4521	6.751502497819824e-06	0.0002069689874184838	1.5299763914233244e-06
0.1	4521	7.403038281606987e-07	3.573575039434628e-07	2.0708582093663996e-05
0.1	4521	2.1108819402657125e-08	4.2024621799816e-06	0.0005804469235460955
0.2	4521	6.580240876246576e-06	4.759320688587549e-05	4.1838346343658954e-05
0.2	4521	1.3866505046599566e-06	4.088718060864558e-06	3.58875551883112e-05
0.2	4521	1.199436142958936e-06	7.316152916262174e-08	3.6814162359399357e-06
0.2	4521	1.0851651491572234e-06	2.935525398940898e-05	9.263213567673043e-05
0.2	4521	2.4092394380311654e-07	5.76196813110945e-07	3.629286886860507e-06
0.5	4521	1.106177695733129e-05	1.323544390680615e-08	1.2881718925911397e-06
0.5	4521	1.238955223065549e-09	5.2202940130017786e-08	4.932342057003713e-07
0.5	4521	3.224545778128782e-07	4.653355596690813e-06	7.328040399009772e-08
0.5	4521	2.3923006875706575e-07	1.227589279246348e-05	3.4672791124783524e-06
0.5	4521	4.4320885615106694e-07	6.903784918325504e-06	1.4954893503952394e-06
0.75	4521	6.58671121799465e-08	2.125992102346387e-07	2.768785541649144e-07
0.75	4521	8.489346448714316e-08	3.266301716783482e-07	3.806889680569737e-07
0.75	4521	1.2427959303047551e-08	3.037880689573467e-07	1.1539110912805246e-07
0.75	4521	2.121717154443015e-08	1.3754366544877132e-07	4.923427653752254e-07
0.75	4521	1.578988664390252e-08	1.8107659163857995e-06	4.6529690568599437e-07
1	4521	1.257548523380097e-06	1.205072523982494e-07	1.4347314545528751e-08
1	4521	8.904398166597091e-07	4.339590805126847e-06	2.3755466862936464e-08
1	4521	3.0232286381836022e-05	1.433846864952942e-06	5.9510829986442785e-05
0.5	4521	5.327063560728916e-06	6.042866919771617e-06	2.0429026187162302e-05
0.5	4521	5.2213509342975315e-11	4.3909233401015714e-07	2.2938660221820072e-05
0.5	4521	3.138376780147523e-08	1.9768367925577627e-09	3.260008659170724e-05
0.5	4521	1.6647345861432694e-08	6.258811209909331e-08	3.0305452286813023e-06
0.5	4521	6.262817966269483e-06	6.521697331129626e-07	3.2232438847500835e-06
1	4521	2.573628652940758e-06	8.444956332213917e-07	1.0661819935164742e-05
1	4521	1.4648056950128093e-07	2.7660054177996364e-07	1.991101185479231e-06
1	4521	2.37487362731855e-07	8.632857683502979e-08	8.67504507572057e-08
1	4521	8.018241299517147e-07	7.815717533179986e-07	4.721645071792169e-06
1	4521	7.709699054174864e-06	6.303263695864978e-08	1.1295915426892961e-06
0.1	4521	4.789850060444974e-07	1.0257466902390047e-06	3.774527826724222e-05
0.1	4521	7.711498411634345e-07	2.9201431893514356e-08	0.0006418437782583621
0.1	4521	2.2206697610128872e-07	0.00018203168580515323	7.141615766582909e-05
0.1	4521	4.4436265822078665e-08	2.9242308580745736e-05	1.5084000728975751e-05
0.1	4521	3.6061272099457546e-07	9.981177283033881e-05	0.0002539677862059744
0.2	4521	9.343820935942631e-07	0.00034340678859137936	1.639487235491102e-06
0.2	4521	3.478454244120529e-06	2.2184010808212245e-05	6.3147238726334e-06
0.2	4521	4.1176695747650274e-07	2.4842073592931926e-08	3.641668247894235e-05
0.2	4521	1.783246802734319e-07	3.386920177406753e-05	0.0003029847937992886
0.2	4521	1.764012407191185e-08	1.352017879232873e-05	6.776327255435215e-07
0.5	4521	8.128294809500658e-07	3.1870076270075763e-06	2.2426635724721727e-06
0.5	4521	6.58877610988674e-10	6.523793302200422e-07	7.927523708011466e-05
0.5	4521	1.0999308576971139e-05	3.5936505506789418e-06	1.3683274154717475e-06
0.5	4521	1.429212841591048e-09	2.751721072452782e-07	3.7670091569696285e-06
0.5	4521	3.0985419133675335e-07	3.343749353726981e-06	1.0457995365228586e-06
0.75	4521	8.002265421964017e-06	1.3888386165285448e-09	1.2197325640675588e-09
0.75	4521	4.3142490341317896e-08	2.221466110735023e-08	3.458827279764189e-06
0.75	4521	2.174868894235258e-07	2.7975519696391794e-08	1.6796668831601282e-06
0.75	4521	9.677615646067662e-08	6.52839848208936e-09	1.4988085387270262e-06
