epsilon	n	bins	o20	bell	ghazi	ghazi_shuffle
0.1	4521	16	4.476707112951325e-05	180445.3357038041	0.7511454686012174	0.0003354591557244988
0.1	4521	16	0.0003010130614509281	180756.35401767134	0.33126928352672874	0.07847173524276115
0.1	4521	16	0.00012077896326862872	180809.5379014051	2.1859824268432764	0.009862507026750305
0.1	4521	16	2.417813671549424e-06	180562.040703647	0.054285536677566956	2.1587887096651923e-05
0.1	4521	16	0.0006150951394363499	180285.7986396211	0.15308976979839783	0.0653844888181497
0.1	4521	64	5.2491098925101044e-05	4957562.771579843	3.245420358432926	0.0007790268609677324
0.1	4521	64	0.00031661881817552674	4957542.706536939	724.5209397580904	0.0006610920370119466
0.1	4521	64	5.717984212479943e-06	4955922.070362751	492.6525590204087	0.07429144059324534
0.1	4521	64	3.822968539674091e-06	4951432.035673857	495.1744566576162	0.13136913632990474
0.1	4521	64	1.5983169041347605e-06	4955058.658441191	3.116562909016952	0.06444513444660423
0.1	4521	256	4.113102998867557e-07	102502282.28682089	2481.358790836855	0.0003488460920663584
0.1	4521	256	8.012857387204286e-06	102493323.21990916	231.74647064404923	0.005953608879441071
0.1	4521	256	1.2696701695516625e-05	1882757782.3667908	3331.4311993180017	0.002013438243720929
0.1	4521	256	2.1694245155630622e-06	1880143670.2745254	3535.604792479451	0.0004914853323703898
0.1	4521	256	1.0655170793192853e-06	1881532709.157565	6842.135101543807	0.0003816813047451329
0.1	4521	1024	9.78290050102899e-05	1880029462.824974	91595.81365880083	0.010756759256852377
0.1	4521	1024	9.659911420414702e-08	1882483697.173682	38325.21508445446	0.006121772165799508
0.1	4521	1024	2.7326647411112356e-05		0.013700037884661665	0.0012809071816127235
0.1	4521	1024	5.484454227878206e-05		64867.41412192647	0.007419787939295694
0.1	4521	1024	8.939090835002359e-06		4360.647296870337	0.0009713203757585785
0.1	4521	4096	4.848613519729942e-07	32202754632.15805	125239.0151175907	0.0018036753056613326
0.1	4521	4096	1.2461296033457755e-05		5750.14710653545	0.003378392902453645
0.1	4521	4096	7.069289353044859e-05		61489.28991670739	0.0025581705958453494
0.1	4521	4096	3.573626833501459e-05		104356.6967654021	0.0037861526871603764
0.1	4521	4096	4.896306131498784e-06		339695.2369426422	0.0030876128291642433
1	4521	16	4.683593364412879e-07	0.2066124345685306	0.0022116884331891754	0.0009302322000195901
1	4521	16	3.6554701572615435e-06	0.20751872689584872	0.039748327589632745	0.0007802697882304357
1	4521	16	6.496509958688188e-06	0.20888291687121047	0.01797047473130856	0.01011785172812269
1	4521	16	2.914285732188181e-06	0.2066929298275418	0.0012962995318351583	0.03619435459670332
1	4521	16	2.0280835759002558e-06	0.20798279796932811	0.007571933754789598	0.03672466141385587
1	4521	64	8.673657594622686e-07	48.32549418144233	0.045933029488594124	0.005506153776978155
1	4521	64	1.2946355038835625e-06	48.16497436837138	0.8069538451031659	0.0027071113592960373
1	4521	64	4.2245909003659426e-06	48.29812380409136	0.0005924889051402092	1.0938085332336064e-05
1	4521	64	8.542858707065042e-07	48.24112106129196	0.01532482209931375	1.92308660090258e-05
1	4521	64	1.306668711818169e-06	48.20954218786686	0.5810769406470168	0.01103305741055879
1	4521	256	1.5672165801826668e-07	1394.9500348275549	1483.7204801042149	0.0012901201430001235
1	4521	256	2.76804245618258e-07	1396.7375112080676	37.82276347539923	0.013001813768572653
1	4521	256	3.594310961303688e-07	1396.6928739394946	12.71709417155203	0.019330863567846038
1	4521	256	2.8053418512473086e-06	1397.5557693532285	31.208693596636017	0.0353479940303659
1	4521	256	1.0728169559836484e-05	1396.08685728722	586.4559950693617	0.010806859578549016
1	4521	1024	6.799058108856392e-09	26336.50198248075	40473.1205245935	0.005114495646570953
1	4521	1024	2.1058177181520076e-09	26321.882698635396	32659.84373972281	0.005528191208799856
1	4521	1024	4.4230864989127927e-07	26361.968778735907	3837.8799128456544	0.000291275426651511
1	4521	1024	2.1276088448970855e-06	26360.214378676763	108693.45863877502	0.0012656326294645005
1	4521	1024	4.137788626943406e-06	26338.909304505567	204764.49023772107	0.015518280041046238
1	4521	4096	5.4066665586214955e-06	451333.19271890906	3408874.6463271626	3.083542601806891e-05
1	4521	4096	1.959649513021466e-06	451887.79238219775	92613.988572265	0.0017565317938627082
1	4521	4096	5.0393481120957895e-06	451473.8909424134	13633628.408640275	0.0026971701493887544
1	4521	4096	1.1780358697580648e-05		106727.2472924092	0.00293870987928047
1	4521	4096	3.345595067673281e-08		2552339.800082069	0.0014691042472162682
